,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Court_Indoor,Court_Outdoor,Surface_Clay,Surface_Grass,Surface_Hard,Round_1st Round,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,player1_round1,player2_round1,player1_round2,player2_round2,player1_round3,player2_round3,player1_round4,player2_round4,player1_round5,player2_round5
35,3,Cipolla,Paire,Paire,95,47,568,867,2.62,1.44,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,4,6,0,0,0,0,0,0
36,3,Devvarman,Hajek,Devvarman,663,106,32,527,1.44,2.62,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,3,0,0,0,0,0,0
37,3,Ram,Sela,Sela,132,109,427,512,2.37,1.53,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,1,6,0,0,0,0,0,0
38,3,Stakhovsky,Bemelmans,Stakhovsky,103,111,538,509,2.0,1.72,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,7,6,0,0,0,0,0,0
39,3,Haase,Bedene,Bedene,56,86,780,583,1.61,2.2,False,True,False,False,True,False,True,False,False,False,False,False,False,5,7,3,6,0,0,0,0,0,0
40,3,Soeda,Amritraj,Soeda,60,549,758,51,1.28,3.5,False,True,False,False,True,False,True,False,False,False,False,False,False,7,6,3,6,6,4,0,0,0,0
41,3,Roger-Vasselin,Tipsarevic,Tipsarevic,102,9,545,2990,5.5,1.14,False,True,False,False,True,False,True,False,False,False,False,False,False,2,6,3,6,0,0,0,0,0,0
42,3,Wawrinka,Stebe,Wawrinka,17,177,1900,295,1.2,4.33,False,True,False,False,True,False,True,False,False,False,False,False,False,6,4,6,3,0,0,0,0,0,0
43,3,Sela,Paire,Paire,109,47,512,867,2.37,1.53,False,True,False,False,True,False,True,False,False,False,False,False,False,1,6,0,6,0,0,0,0,0,0
44,3,Cilic,Stakhovsky,Cilic,15,103,2210,538,1.18,4.5,False,True,False,False,True,False,True,False,False,False,False,False,False,4,6,6,2,6,3,0,0,0,0
45,3,Bachinger,Bautista,Bautista,123,80,462,648,1.9,1.8,False,True,False,False,True,False,True,False,False,False,False,False,False,6,7,3,6,0,0,0,0,0,0
46,3,Berdych,Devvarman,Berdych,6,663,4680,32,1.07,9.0,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,1,0,0,0,0,0,0
47,3,Cilic,Paire,Paire,15,47,2210,867,1.28,3.5,False,True,False,False,True,False,False,False,False,True,False,False,False,4,6,6,1,5,7,0,0,0,0
48,3,Bedene,Wawrinka,Bedene,86,17,583,1900,5.5,1.14,False,True,False,False,True,False,False,False,False,True,False,False,False,6,2,7,6,0,0,0,0,0,0
49,3,Soeda,Tipsarevic,Tipsarevic,60,9,758,2990,7.0,1.1,False,True,False,False,True,False,False,False,False,True,False,False,False,2,6,4,6,0,0,0,0,0,0
